Engineering Stress	Engineering Strain
2456949.537	0.120740876
2450368.377	0.12104562
2460986.543	0.12134854
2453871.32	0.121653285
2465752.733	0.121958029
2474659.378	0.122262774
2456326.325	0.122567518
2468874.685	0.122870438
2457495.374	0.123173358
2445307.822	0.123478102
2462904.962	0.123782847
2471641.716	0.124087591
2469794.786	0.124392336
2470484.441	0.124695255
2468872.161	0.124998175
2468892.347	0.12530292
2481243.061	0.125607664
2459609.756	0.125912409
2461745.164	0.126215328
2473834.315	0.126518552
2469772.077	0.126822993
2461208.579	0.127129562
2453097.561	0.127432482
2467910.849	0.127737226
2448823.381	0.128040146
2464044.575	0.128344891
2481280.067	0.128649635
2449881.413	0.12895438
2468049.622	0.129260645
2458907.485	0.129563564
2461592.094	0.129866484
2468585.366	0.130171229
2476993.272	0.130475973
2473682.927	0.130780718
2477235.492	0.131083637
2477220.353	0.131388382
2477141.295	0.131693127
2458746.846	0.131996046
2481613.961	0.13229927
2463978.133	0.13260219
2476575.273	0.132905414
2467366.695	0.133209854
2474177.46	0.133514599
2470855.341	0.133819343
2470095.879	0.134122263
2470442.389	0.134427007
2479354.079	0.134730231
2468689.655	0.135034672
2473712.363	0.135339416
2470392.767	0.135644161
2473915.896	0.13594708
2475752.733	0.136250304
2468215.307	0.136556569
2480614.802	0.136861314
2463411.27	0.137165754
2463132.044	0.137468978
2468301.093	0.137771898
2475700.589	0.138076642
2472677.04	0.138381387
2466432.296	0.138686131
2490845.248	0.138990572
2481146.341	0.139293796
2473611.438	0.139596715
2480508.831	0.13990146
2469638.352	0.140206204
2464244.743	0.140510949
2480117.746	0.140813869
2483027.754	0.141117092
2475305.299	0.141421533
2473250.631	0.141726277
2481411.27	0.142032543
2480716.569	0.142337287
2485672.834	0.142640207
2473430.614	0.142943431
2467613.961	0.143248175
2469529.857	0.143552616
2464879.731	0.14385736
2468805.719	0.144162105
2484083.263	0.144465024
2472338.099	0.144769769
2468956.266	0.145074513
2490646.762	0.145377737
2497449.958	0.145682178
2474603.028	0.145985401
2472009.251	0.146289842
2477888.141	0.146594586
2471814.13	0.14689781
2473633.305	0.147202251
2482024.39	0.147505474
2467349.874	0.147808394
2466859.546	0.148113139
2463602.187	0.148417883
2486001.682	0.148722628
2471621.531	0.149027068
2486117.746	0.149330292
2489935.24	0.149635036
2485277.544	0.149939477
2475740.118	0.150242701
2475974.769	0.150547445
2476837.679	0.150850365
2491944.491	0.151153285
2488666.947	0.151458029
2491012.616	0.151764294
2473035.324	0.152067518
2488196.804	0.152370438
2475013.457	0.152673662
2494058.873	0.152979927
2486370.059	0.153284672
2495259.882	0.153589112
2482185.029	0.153892336
2494533.221	0.154195255
2480669.47	0.154501521
2489030.278	0.154806265
2474610.597	0.15511101
2487306.981	0.155412409
2483856.182	0.155717153
2481709.84	0.156020073
2472953.743	0.156326338
2474405.383	0.156631083
2481848.612	0.156934307
2476227.082	0.157237226
2487180.824	0.157541971
2490978.133	0.157846715
2491010.093	0.158151156
2487286.796	0.1584559
2485388.562	0.158759124
2479661.06	0.159063564
2483835.997	0.159366788
2494243.902	0.159671533
2470474.348	0.159975973
2486520.606	0.160280718
2489962.153	0.160583942
2477121.951	0.160888382
2494417.157	0.161193127
2496878.89	0.161497871
2485064.76	0.161802616
2489774.601	0.162105535
2476058.873	0.162408759
2489143.818	0.1627132
2475626.577	0.163017944
2482142.977	0.163322689
2489489.487	0.163625608
2495039.529	0.163928832
2490698.907	0.164231752
2485667.788	0.164536496
2484953.743	0.164841241
2482674.516	0.165144161
2474566.022	0.165447384
2484978.133	0.165752129
2476664.424	0.166056569
2475839.361	0.166361314
2499761.985	0.166666058
2495694.701	0.166968978
2486016.821	0.167273723
2484343.146	0.167576642
2491423.045	0.167883212
2499904.962	0.168186131
2492246.426	0.168490876
2491907.485	0.168793796
2480345.669	0.16909854
2480209.42	0.169403285
2486970.563	0.16970955
2487974.769	0.17001247
2486849.453	0.170315693
2494622.372	0.170618613
2487608.915	0.170923358
2495930.193	0.171228102
2480775.442	0.171532847
2497449.958	0.171835766
2483675.357	0.172138686
2484355.761	0.172445255
2491899.916	0.172749696
2497148.865	0.17305444
2500095.038	0.173357664
2493699.748	0.173660584
2496832.632	0.173965328
2500698.907	0.174270073
2497655.172	0.174576338
2502481.077	0.174879258
2494006.728	0.175184002
2484233.81	0.175486922
2488612.279	0.175791667
2495796.468	0.176096411
2486835.156	0.176401156
2485309.504	0.176704075
2492639.193	0.17700882
2492513.877	0.17731174
2483467.62	0.177616484
2496241.379	0.177921229
2478911.69	0.178224148
2488869.638	0.178525547
2496528.175	0.178830292
2493502.103	0.179135036
2501368.377	0.179439781
2477440.706	0.179744526
2487148.865	0.180047445
2486943.65	0.180350365
2493094.197	0.180655109
2487211.102	0.180959854
2476276.703	0.181264599
2494770.395	0.181567518
2484111.018	0.181870742
2498612.279	0.182177007
2499719.933	0.182481752
2497264.929	0.182786192
2495407.906	0.183090937
2507944.491	0.183394161
2483126.997	0.18369708
2488269.134	0.184001825
2492231.287	0.184306569
2501922.624	0.184609489
2502941.127	0.184914234
2520238.856	0.185217153
2488557.611	0.185521898
2484009.251	0.185826642
2504135.408	0.186131387
2496053.827	0.186434307
2499894.87	0.186737226
2501904.962	0.187041971
2486312.868	0.187348236
2485138.772	0.187652981
2495519.765	0.187956204
2482100.925	0.188260645
2504296.047	0.188563869
2478646.762	0.188870134
